Food Name,State,Type,Allergic Ingredients,Total Calories,Total Carbs,Total Fats,Total Protein,Total Sugar,Total Sodium,Vitamin Content,Rasa (Taste),Guna (Qualities),Virya (Potency),Vipaka (Post-digestive Effect),Prabhava (Special Effect),Dosha Impact,Mapped_Ingredients
Vegetable Dosa,Andaman,Veg,None,250,40,10,6,4,350,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Vegetable
Lobster Stir Fry,Andaman,Non-Veg,Seafood,360,10,25,30,4,650,"Vitamin B, C",Sweet; Varies (Sweet/Astringent/Bitter),"Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Nourishing; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Prawn, Stir"
Chicken Satay Skewers,Andaman,Non-Veg,None,300,8,15,30,2,500,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Satay"
Prawn Fried Rice,Andaman,Non-Veg,Seafood,340,50,15,25,7,700,"Vitamin B, C",Sweet,"Heavy, Oily; Light, Soft",Heating,Sweet,Nourishing,"Balances Vata, may aggravate Pitta & Kapha; Balances Vata & Pitta, may increase Kapha","Prawn, Rice"
Vegetable Pakora,Andaman,Veg,None,270,25,15,10,4,350,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Vegetable
Fish Curry Rice,Andaman,Non-Veg,Seafood,340,55,15,25,8,800,"Vitamin B, C","Sweet, Salty; Sweet","Heavy, Oily; Light, Soft",Heating,Sweet,Strength-giving; Nourishing,"Balances Vata, may aggravate Pitta & Kapha; Balances Vata & Pitta, may increase Kapha","Fish, Rice"
Spicy Lobster Biryani,Andaman,Non-Veg,Seafood,420,55,22,30,9,800,Vitamin B,Varies (Sweet/Astringent/Bitter); Sweet,"Light to Heavy, Dry to Oily (Varies); Heavy, Oily",Heating,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Nourishing","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, may aggravate Pitta & Kapha","Spicy, Prawn, Biryani"
Mutton Korma,Andaman,Non-Veg,Dairy,350,15,25,30,6,700,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Mutton, Korma"
Vegetable Pulao,Andaman,Veg,None,250,45,10,8,4,500,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Pulao"
Grilled Lobster,Andaman,Non-Veg,Seafood,360,10,25,30,4,650,"Vitamin B, C",Varies (Sweet/Astringent/Bitter); Sweet,"Light to Heavy, Dry to Oily (Varies); Heavy, Oily",Heating,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Nourishing","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, may aggravate Pitta & Kapha","Grilled, Prawn"
Chicken Curry with Rice,Andaman,Non-Veg,None,400,55,20,30,8,800,Vitamin B,"Sweet, Salty; Sweet","Heavy, Oily; Light, Soft",Heating,Sweet,Strength-giving; Nourishing,"Balances Vata, may aggravate Pitta & Kapha; Balances Vata & Pitta, may increase Kapha","Chicken, Rice"
Spicy Vegetable Soup,Andaman,Veg,None,200,20,5,4,2,350,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Spicy, Vegetable, Soup"
Prawn Biryani,Andaman,Non-Veg,Seafood,410,55,22,30,9,800,Vitamin B,Sweet; Varies (Sweet/Astringent/Bitter),"Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Nourishing; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Prawn, Biryani"
Lobster and Prawn Skewers,Andaman,Non-Veg,Seafood,340,20,22,25,7,700,"Vitamin B, C",Sweet,"Heavy, Oily",Heating,Sweet,Nourishing,"Balances Vata, may aggravate Pitta & Kapha","Prawn, Prawn"
Grilled Mutton,Andaman,Non-Veg,None,340,10,25,30,6,600,Vitamin B,"Varies (Sweet/Astringent/Bitter); Sweet, Salty","Light to Heavy, Dry to Oily (Varies); Heavy, Oily",Heating,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Strength-giving","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, may aggravate Pitta & Kapha","Grilled, Mutton"
Chicken and Vegetable Stir Fry,Andaman,Non-Veg,None,280,25,15,30,4,500,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Vegetable, Stir"
Spicy Crab Curry,Andaman,Non-Veg,Seafood,330,15,20,25,6,700,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Spicy, Crab"
Hyderabadi Biryani,Telangana,Non-Veg,"Nuts, Dairy",500,65,20,25,10,800,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Hyderabadi, Biryani"
Bagara Baingan,Telangana,Veg,None,200,15,10,3,5,600,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Bagara, Baingan"
Kheema Samosa,Telangana,Non-Veg,Gluten,300,30,18,12,8,750,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Kheema, Samosa"
Pesarattu,Telangana,Veg,None,250,35,8,10,3,500,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Pesarattu
Gongura Pachadi,Telangana,Veg,None,100,10,5,2,1,200,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Gongura, Pachadi"
Qubooli,Telangana,Veg,Nuts,300,45,10,8,7,500,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Qubooli
Hyderabadi Marag,Telangana,Non-Veg,None,450,40,30,22,6,900,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Hyderabadi, Marag"
Lemon Rice,Telangana,Veg,None,350,55,8,7,4,450,Vitamin C,"Sweet, Astringent; Sweet","Heavy, Oily; Light, Soft",Cooling,Sweet,"Nourishing, rejuvenating; Nourishing","Balances Vata, may aggravate Kapha; Balances Vata & Pitta, may increase Kapha","Lemon, Rice"
Telangana Chicken Curry,Telangana,Non-Veg,None,400,35,25,18,7,800,"Vitamin B, C","Varies (Sweet/Astringent/Bitter); Sweet, Salty","Light to Heavy, Dry to Oily (Varies); Heavy, Oily",Heating,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Strength-giving","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, may aggravate Pitta & Kapha","Telangana, Chicken"
Poornalu,Telangana,Veg,Nuts,150,20,5,5,6,300,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Poornalu
Ulavacharu,Telangana,Veg,None,180,10,7,8,4,500,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Ulavacharu
Pulao,Telangana,Veg,None,300,40,10,7,5,600,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Pulao
Shahi Tukda,Telangana,Veg,Dairy,350,45,20,25,15,400,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Shahi, Tukda"
Saree Pappu,Telangana,Veg,None,250,40,8,12,3,450,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Saree, Pappu"
Chili Chicken,Telangana,Non-Veg,None,350,25,22,15,6,700,"Vitamin B, C","Pungent; Sweet, Salty","Light, Sharp, Dry; Heavy, Oily",Heating,Pungent; Sweet,Strong stimulant; Strength-giving,"Aggravates Pitta & Vata, balances Kapha (small qty); Balances Vata, may aggravate Pitta & Kapha","Chili, Chicken"
Dosa,Telangana,Veg,None,200,25,8,5,2,300,Vitamin B,,,,,,,
Rajma,Telangana,Veg,None,300,50,5,15,6,500,"Vitamin B, C","Astringent, Sweet","Light, Dry",Cooling,Pungent,Protein-rich,"Balances Kapha & Pitta, may aggravate Vata",Kidney beans
Bhindi Fry,Telangana,Veg,None,180,15,10,5,2,400,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Okra
Kalakand,Telangana,Veg,Dairy,250,30,15,20,18,300,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Kalakand
Karela Fry,Telangana,Veg,None,200,10,12,5,1,250,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Karela
Chicken Korma,Telangana,Non-Veg,"Nuts, Dairy",400,35,30,20,8,800,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Korma"
Mutton Biryani,Telangana,Non-Veg,Nuts,500,60,25,30,10,900,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Mutton, Biryani"
Rawa Kesari,Telangana,Veg,Dairy,300,50,15,25,20,400,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Rawa, Kesari"
Chana Dal,Telangana,Veg,None,250,35,6,13,4,350,"Vitamin B, C","Astringent, Sweet","Heavy, Dry; Light, Dry",Cooling,Pungent,"Grounding, protein-rich; Protein-rich, cleansing","May aggravate Vata & Kapha; Balances Kapha & Pitta, may aggravate Vata","Chickpea, Lentil"
Pongal,Telangana,Veg,None,300,45,10,8,3,400,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Pongal
Methi Thepla,Telangana,Veg,None,250,35,12,8,4,450,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Methi, Thepla"
Khubani Ka Meetha,Telangana,Veg,None,350,50,15,30,25,300,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Khubani, Meetha"
Nizami Kebab,Telangana,Non-Veg,Nuts,400,20,30,25,7,800,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Nizami
Methi Paratha,Telangana,Veg,None,300,45,12,7,5,500,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Methi
Masala Dosa,Telangana,Veg,None,250,30,10,8,4,350,"Vitamin B, C",,,,,,,
Mutton Kheema,Telangana,Non-Veg,None,400,25,30,22,6,750,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Mutton, Kheema"
Chole Bhature,Telangana,Veg,Gluten,400,50,15,20,10,700,"Vitamin B, C","Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Grounding, protein-rich; Nourishing, Satiety-giving","May aggravate Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chickpea, Bhature"
Gutti Vankaya,Telangana,Veg,None,200,20,12,6,3,350,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Gutti, Vankaya"
Chicken Tikka,Telangana,Non-Veg,None,350,10,25,20,4,600,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Tikka"
Masoor Dal,Telangana,Veg,None,250,40,5,12,5,400,"Vitamin B, C","Astringent, Sweet","Light, Dry",Cooling,Pungent,"Protein-rich; Protein-rich, cleansing","Balances Kapha & Pitta; Balances Kapha & Pitta, may aggravate Vata","Masoor dal, Lentil"
Thalipeeth,Telangana,Veg,Gluten,300,45,12,10,6,500,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Thalipeeth
Chakna,Telangana,Non-Veg,None,350,30,15,20,5,600,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Chakna
Aloo Gobi,Telangana,Veg,None,200,20,8,4,3,300,"Vitamin A, C","Sweet, Astringent; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet; Sweet or Pungent,"Satiety-giving; Nourishing, Satiety-giving","Balances Pitta, aggravates Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Potato, Gobi"
Rajma Chawal,Telangana,Veg,None,350,55,10,15,7,600,"Vitamin B, C","Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Light, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Protein-rich; Nourishing, Satiety-giving","Balances Kapha & Pitta, may aggravate Vata; Generally balances Pitta, effects on Vata/Kapha vary","Kidney beans, Chawal"
Chole Masala,Telangana,Veg,None,300,45,8,10,5,500,"Vitamin B, C","Astringent, Sweet","Heavy, Dry",Cooling,Pungent,"Grounding, protein-rich",May aggravate Vata & Kapha,Chickpea
Prawns Curry,Telangana,Non-Veg,None,400,25,20,25,6,700,"Vitamin B, C",Sweet,"Heavy, Oily",Heating,Sweet,Nourishing,"Balances Vata, may aggravate Pitta & Kapha",Prawn
Tomato Rice,Telangana,Veg,None,300,50,10,7,4,500,Vitamin C,Varies (Sweet/Astringent/Bitter); Sweet,"Light to Heavy, Dry to Oily (Varies); Light, Soft",Cooling,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Nourishing","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata & Pitta, may increase Kapha","Tomato, Rice"
Ghee Rice,Telangana,Veg,Dairy,350,60,15,6,5,600,Vitamin B,Sweet,"Heavy, Oily, Soft; Light, Soft",Cooling,Sweet,"Promotes memory, nourishes tissues; Nourishing","Balances Vata & Pitta, increases Kapha; Balances Vata & Pitta, may increase Kapha","Ghee, Rice"
Dal Tadka,Telangana,Veg,None,250,35,8,12,4,400,"Vitamin B, C","Astringent, Sweet","Light, Dry",Cooling,Pungent,"Protein-rich, cleansing","Balances Kapha & Pitta, may aggravate Vata",Lentil
Hyderabadi Khichdi,Telangana,Veg,None,350,45,10,10,5,500,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Hyderabadi, Khichdi"
Chana Sundal,Telangana,Veg,None,200,30,7,8,3,350,"Vitamin B, C","Astringent, Sweet","Heavy, Dry; Light, Dry",Cooling,Pungent,"Grounding, protein-rich; Protein-rich","May aggravate Vata & Kapha; Balances Kapha & Pitta, may aggravate Vata","Chickpea, Sundal"
Pesarattu Dosa,Telangana,Veg,None,250,35,10,8,3,500,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Pesarattu
Vankaya Curry,Telangana,Veg,None,200,15,10,5,2,350,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Vankaya
Chicken Pakora,Telangana,Non-Veg,Gluten,400,20,25,15,7,800,"Vitamin B, C","Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Chicken
Kabab,Telangana,Non-Veg,Nuts,350,15,30,20,5,700,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Kabab
Dahi Puri,Telangana,Veg,"Dairy, Gluten",250,30,12,6,10,400,"Vitamin B, C","Sour, Astringent; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Cooling,Sour/Pungent; Sweet or Pungent,"Probiotic, cooling; Nourishing, Satiety-giving","Balances Pitta, may aggravate Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Yogurt, Puri"
Kurkuri Bhindi,Telangana,Veg,None,200,20,10,5,2,350,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Kurkuri, Okra"
Bonda,Telangana,Veg,Gluten,300,30,15,12,6,450,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Bonda
Chicken Kebab,Telangana,Non-Veg,None,400,25,25,20,6,700,"Vitamin B, C","Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Chicken
Palak Paneer,Telangana,Veg,Dairy,350,15,20,12,5,600,"Vitamin A, C",Varies (Sweet/Astringent/Bitter); Sweet,"Light to Heavy, Dry to Oily (Varies); Heavy, Oily",Cooling,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Nourishing","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, increases Kapha","Spinach, Paneer"
Methi Dal,Telangana,Veg,None,250,35,8,12,5,400,"Vitamin B, C","Varies (Sweet/Astringent/Bitter); Astringent, Sweet","Light to Heavy, Dry to Oily (Varies); Light, Dry",Cooling,Sweet or Pungent; Pungent,"Nourishing, Satiety-giving; Protein-rich, cleansing","Generally balances Pitta, effects on Vata/Kapha vary; Balances Kapha & Pitta, may aggravate Vata","Methi, Lentil"
Kakara Poothi,Telangana,Veg,None,200,20,7,5,4,300,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Kakara, Poothi"
Rawa Idli,Telangana,Veg,Gluten,250,30,8,5,2,400,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Rawa, Idli"
Sambhar,Telangana,Veg,None,150,20,5,8,2,300,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Sambhar
Chole Tikki,Telangana,Veg,Gluten,300,40,15,12,8,500,"Vitamin B, C","Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Grounding, protein-rich; Nourishing, Satiety-giving","May aggravate Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chickpea, Tikki"
Chicken Hyderabadi,Telangana,Non-Veg,None,400,30,25,20,6,800,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Hyderabadi"
Roti,Telangana,Veg,Gluten,150,30,2,5,1,200,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Roti
Bhindi Masala,Telangana,Veg,None,200,15,8,5,2,350,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Okra
Khichdi,Telangana,Veg,None,300,45,8,10,4,500,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Khichdi
Rajma Tikki,Telangana,Veg,Gluten,250,35,10,12,5,400,"Vitamin B, C","Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Light, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Protein-rich; Nourishing, Satiety-giving","Balances Kapha & Pitta, may aggravate Vata; Generally balances Pitta, effects on Vata/Kapha vary","Kidney beans, Tikki"
Biryani Masala,Telangana,Veg,None,100,15,2,4,3,200,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Biryani
Kali Puri,Telangana,Veg,Gluten,300,40,10,6,4,500,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Kali, Puri"
Chana Chaat,Telangana,Veg,None,200,30,8,10,5,350,"Vitamin B, C","Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Grounding, protein-rich; Nourishing, Satiety-giving","May aggravate Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chickpea, Chaat"
Bhajji,Telangana,Veg,Gluten,250,25,15,10,5,450,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Bhajji
Rawa Upma,Telangana,Veg,Gluten,300,50,10,8,4,500,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Rawa, Upma"
Hyderabadi Haleem,Telangana,Non-Veg,Gluten,450,50,25,20,8,800,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Hyderabadi, Haleem"
Prawn Masala,Telangana,Non-Veg,None,400,30,20,25,6,700,"Vitamin B, C",Sweet,"Heavy, Oily",Heating,Sweet,Nourishing,"Balances Vata, may aggravate Pitta & Kapha",Prawn
